,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,78,001-0024,ENGINE,Connecting rod bearing parts kit (17),FALSE,TRUE,FALSE,1 SET,RT - C1,,,,,,,,,,
,79,001-0025,ENGINE,Piston standard (26),FALSE,TRUE,FALSE,1 SET,RT - C1,,,,,,,,,,
,80,004-0008,INTERIOR,Covering at lower part right backrest adjuster,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,81,004-0009,INTERIOR,Covering at upper part right backrest adjuster ,FALSE,TRUE,FALSE,2 PCS ,RT - B28,,,,,,,,,,
,82,004-0010,INTERIOR,Covering at upper part left backrest adjuster ,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,83,004-0011,INTERIOR,Covering at lower part right backerst adjuster,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,84,001-0026,ENGINE,"Piston ring parts kit, standard",FALSE,TRUE,FALSE,1 SET,RT - C1,,,,,,,,,,
,85,001-0027,ENGINE,Reservoir (14),FALSE,TRUE,FALSE,1 PC,RT - C3,,,Keranjang 1,,,,,,,
,86,001-0028,ENGINE,Filter element (8),FALSE,TRUE,FALSE,1 PC,RT - C36,,,,,,,,,,
,87,001-0029,ENGINE,Shaft (41),FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 3,,,,,,,
,89,001-0030,ENGINE,Reinforcement rear (27),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,90,001-0031,ENGINE,Reinforcement front (31),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,91,004-0017,ELECTRICAL,Wiper rubber 330mm (80),FALSE,FALSE,TRUE, 2 PCS,RT - C10,,,Keranjang 2,,,,,,,
,92,003-0018,ELECTRICAL,Wiper blade (78),FALSE,FALSE,TRUE,2 PCS,RT - C10,,,Keranjang 2,,,,,,,
,93,003-0019,ELECTRICAL,Wiper arm right,FALSE,FALSE,TRUE,1 PCS ,RT - C10,,,Keranjang 2,,,,,,,
,94,003-0020,ELECTRICAL,Wiper arm left,FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 2,,,,,,,
,95,003-0021,ELECTRICAL,Linkage (52),FALSE,TRUE,FALSE,1 PCS,RT -C10,,,,,,,,,,
,96,,,Plate (25),FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 2,,,,,,,
,97,002-0022,UNDERCARIAGE,- (487),FALSE,TRUE,FALSE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,98,002-0023,UNDERCARIAGE,- (490),FALSE,TRUE,FALSE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,99,001-0032,ENGINE,Fuel strainer (36),FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,100,001-0033,ENGINE,Seal ring (42),FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,101,001-0034,ENGINE,Thermostat (35),FALSE,TRUE,FALSE,1 PCS,RT - C25,,,,,,,,,,
,102,001-0035,ENGINE,Cover (44),FALSE,FALSE,TRUE,1 PCS,RT - C25,,,,,,,,,,
,103,001-0036,ENGINE,Flange (32),FALSE,FALSE,TRUE,1 PCS,RT - C28,,,,,,,,,,
,104,001-0037,ENGINE,Water pump range of delivery (5),FALSE,FALSE,TRUE,1 PCS,RT - C28,,,,,,,,,,
,105,001-0038,ENGINE,Impeller (25),FALSE,FALSE,TRUE,1 PCS,RT - C28,,,,,,,,,,
,106,001-0039,ENGINE,Injection nozzle (35),FALSE,TRUE,FALSE,8 PCS,RT - C4,,,Keranjang 1,,,,,,,
,107,001-0040,ENGINE,Pressure regulator (176),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 1,,,,,,,
,108,001-0041,ENGINE,Guide (50),FALSE,TRUE,FALSE,8 PCS,RT - C4,,,Keranjang 1,,,,,,,
,109,001-0042,ENGINE,Gasket cylinder head cover to cylinder head,FALSE,FALSE,TRUE,2 PCS,RT - C35,,,Keranjang 2,,,,,,,
,110,001-0043,ENGINE,Bracket (44),FALSE,FALSE,TRUE,8 PCS,RT - C4,,,Keranjang 1,,,,,,,
,111,001-0044,ENGINE,Cylinder head gasket right,FALSE,FALSE,TRUE,1 PCS,RT - C4,,,,,,,,,,
,112,001-0045,ENGINE,V-belt altenator,FALSE,FALSE,TRUE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,113,001-0046,ENGINE,Clamp (14),FALSE,TRUE,FALSE,7 PCS,RT - C4,,,Keranjang 1,,,,,,,
,114,001-0047,ENGINE,Operating handle distributor to nozzle,FALSE,TRUE,FALSE,4 PCS,RT - C35,,,Keranjang 2,,,,,,,
,115,001-0048,ENGINE,Boot (140),FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,116,004-0012,INTERIOR,Link (250),FALSE,TRUE,FALSE,1 PC,RT - C5,,,,,,,,,,
,117,001-0049,ENGINE,nozzle starting valve (204),FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,118,001-0050,ENGINE,Bracket (14),FALSE,TRUE,FALSE,1 PC,RT - C35,,,Keranjang 2,,,,,,,
,119,001-0051,ENGINE,Roller chain,FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,120,001-0052,ENGINE,Spring (101),FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,121,001-0053,ENGINE,Drive gear,FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,122,001-0054,ENGINE,valves ,FALSE,TRUE,FALSE,8 PCS,RT - C1,,,,,,,,,,
,123,001-0055,ENGINE,Oil pump,FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,124,001-0056,ENGINE,"Cover crankshaft sealing,rear",FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,125,001-0057,ENGINE,"Seal ring crankshaft sealing,rear",FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,126,001-0058,ENGINE,Protective plate,FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
,127,001-0059,ENGINE,Gasket (197),FALSE,TRUE,FALSE,1 PC,RT - C4,,,Keranjang 1,,,,,,,
