,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,414,005-0067,EXTERIOR,Window guide right rear,FALSE,FALSE,TRUE,1 PCS,RT - B28,,,,,,,,,,
,415,005-0058,EXTERIOR,Seal right,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,416,005-0059,EXTERIOR,Pad right rear under door handles (242),FALSE,FALSE,TRUE,2 PCS,RT - B12,,,Keranjang 1,,,,,,,
,417,005-0060,EXTERIOR,Pad right front under door handles (237),FALSE,FALSE,TRUE,2 PCS,RT - B21,,,Keranjang 1,,,,,,,
,418,005-0061,EXTERIOR,door handle right and left ,FALSE,TRUE,FALSE,2 PCS,RT - B30,,,,,,,,,,
,419,005-0062,EXTERIOR,Escutcheon right ,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,420,005-0063,EXTERIOR,Escutcheon left,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,421,005-0064,EXTERIOR,ornamental cover bottom right,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,422,005-0065,EXTERIOR,Edging right,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,423,004-0041,INTERIOR,Signal ring,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,424,005-0066,EXTERIOR,Mercedes star,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,425,005-0067,EXTERIOR,Handle (112),FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,426,005-0068,EXTERIOR,Fastener Less key,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,427,005-0069,EXTERIOR,Wiper arm RH / LH,FALSE,TRUE,FALSE,2 PCS,RT - B30,,,,,,,,,,
,428,004-0042,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,429,004-0043,INTERIOR,Crank right and left front,FALSE,TRUE,FALSE,2 PCS,RT - B30,,,,,,,,,,
,430,005-0070,EXTERIOR, joint cover garnish moulding,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,431,005-0071,EXTERIOR,Ventilator window right/left (2860,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,432,005-0072,EXTERIOR,grille,FALSE,TRUE,FALSE,1 PCS,RT - B31,,,,,,,,,,
,433,,,perangkat transmisi dan pipa matic,FALSE,TRUE,FALSE,1 SET,RT - C19,,,Keranjang 3,,,,,,,
,434,002-0065,UNDERCARIAGE,  Dumper knalpot,FALSE,FALSE,TRUE,1 PCS,RT - C19,,,,,,,,,,
,435,002-0066,UNDERCARIAGE,Seal kaliper,FALSE,FALSE,TRUE,4 PCS,RT - C19,,,Keranjang 1 ,,,,,,,
,436,001-0173,ENGINE,selang pembuangan reservoir radiator ,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,437,,,baut perangkat Steering ,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,438,,,Gromet bul head,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,439,002-0067,UNDERCARIAGE,bracket pipa bagian kolong,FALSE,TRUE,FALSE,1 KTG,RT - C19,,"15/04/2026
MAULANA",Keranjang 1,,,,,,,
,440,,,braket fuel tank,FALSE,FALSE,TRUE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,441,002-0068,UNDERCARIAGE,bracket kabel rem tangan,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1 ,,,,,,,
,442,,,Seal dan oring km,FALSE,FALSE,TRUE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,443,,,cover peredam panas idle arm,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,444,002-0069,UNDERCARIAGE, gasket knalpot,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,445,002-0070,UNDERCARIAGE, bracket pipa rem di lantai kolong,FALSE,TRUE,FALSE,2 PCS,RT - C19,,"15/04/2026
MAULANA",Keranjang 1,,,,,,,
,446,005-0073,EXTERIOR,mur bumper,FALSE,TRUE,FALSE,4 PCS,RT - C19,,,Keranjang 1 ,,,,,,,
,447,003-0050,ELECTRICAL, bracket bracket kabel,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1 ,,,,,,,
,448,003-0051,ELECTRICAL,bracket socket kable,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,449,001-0174,ENGINE,selenoid cold start injector,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1 ,,,,,,,
,450,001-0175,ENGINE,switch extra fan ,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,451,003-0052,ELECTRICAL,bracket FOGLAMP depan,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,452,001-0176,ENGINE, tutup pengisian oli ,FALSE,FALSE,TRUE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,453,002-0071,UNDERCARIAGE, tutup resercoir rem,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 1,,,,,,,
,454,003-0053,ELECTRICAL,socket lampu ruang mesin,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 1 ,,,,,,,
,455,003-0054,ELECTRICAL,Karet dudukan rellay,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,456,003-0055,ELECTRICAL,Thermostat ac,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,457,002-0072,UNDERCARIAGE,Kepala claiman booth gardan,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,458,,, part bekas penyimpanan ,FALSE,FALSE,TRUE,1 KTG,RT - C19,,,,,,,,,,
,459,001-0177,ENGINE,Naple fuel pump,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 1,,,,,,,
,460,001-0178,ENGINE,Selongsong slang power steering,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 1,,,,,,,
,461,001-0179,ENGINE,Kleman pipa,FALSE,FALSE,TRUE,1 KTG,RT - C19,,"15/04/2026
MAULANA",,,,,,,,
,462,001-0180,ENGINE,bracket pompa power steering ,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,463,003-0056,ELECTRICAL,motor washer ,FALSE,TRUE,FALSE,1 PCS,RT - C19,,,Keranjang 3,,,,,,,
,464,,,selang selang vacum,FALSE,TRUE,FALSE,8 PCS,RT - C19,,,Keranjang 3,,,,,,,
,465,,,dop body,FALSE,TRUE,FALSE,3 PCS,RT - C19,,,Keranjang 3,,,,,,,
,466,004-0044,INTERIOR,karet stoper laci dashboard ,TRUE,FALSE,FALSE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,467,005-0074,EXTERIOR,komponen spion ,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,468,004-0045,INTERIOR,kancing lis body,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,469,,,dop body 32,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,470,,,dop body 10mm,FALSE,TRUE,FALSE,4 PCS,RT - C19,,,Keranjang 3,,,,,,,
,471,002-0073,UNDERCARIAGE,seal input seal as roda blk,FALSE,FALSE,TRUE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,472,,,stopper  tutup tangki,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,473,,,"dop body 9,5",FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,474,,,gromet kabel body,FALSE,FALSE,TRUE,1 PCS,RT - C19,,,Keranjang 3,,,,,,,
,475,,,gromet kabel,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,476,,,dop body 20,FALSE,TRUE,FALSE,26 PCS,RT - C19,,,Keranjang 3,,,,,,,
,477,,,gromet dan dop,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,478,,,dumper knalpot ,TRUE,FALSE,FALSE,1 PCS,RT - C19,,,Keranjang 3,,,,,,,
,479,,, karet ablas tangki ,TRUE,FALSE,FALSE,1 PCS,RT - C19,,,Keranjang 3,,,,,,,
,480,,,dop body 18,FALSE,TRUE,FALSE,2 PCS,RT - C19,,,,,,,,,,
,481,,,dop body bagasi,FALSE,FALSE,TRUE,4 PCS,RT - C19,,,Keranjang 3,,,,,,,
,482,002-0074,UNDERCARIAGE, ring baut as roda  ,FALSE,FALSE,TRUE,2 PCS,RT - C19,,,Keranjang 3,,,,,,,
,483,004-0046,INTERIOR,tutup speedometer bekas ,FALSE,FALSE,TRUE,1 KTG,RT - C19,,,Keranjang 3,,,,,,,
,484,001-0180,ENGINE,Mur tanam ruang mesin,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,485,004-0047,INTERIOR,Kaca spion tengah tambahann,FALSE,TRUE,FALSE,1 PCS,RT - B31,,,,,,,,,,
,486,,,,FALSE,TRUE,FALSE,1 PCS,RT - B31,,,,,,,,,,
,487,005-0074,EXTERIOR,Lis chrome lampu plat nomor ,FALSE,TRUE,FALSE,1 PCS,RT - B31,,,,,,,,,,
,488,004-0048,INTERIOR,Cover handle plafon LH/RH,FALSE,TRUE,FALSE,4 PCS,RT - B31,,,,,,,,,,
,489,005-0075,EXTERIOR,Grill depan,FALSE,TRUE,FALSE,1 PCS,RT - B37,,,,,,,,,,
,490,005-0075,EXTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - C39,,,,,,,,,,
,491,005-0076,EXTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - C39,,,,,,,,,,
,492,005-0077,EXTERIOR,Tanduk bumper belakang,FALSE,TRUE,FALSE,2 PCS,RT - C16,,,,,,,,,,
,493,004-0049,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - C28,,,,,,,,,,
,494,004-0050,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,495,004-0051,INTERIOR,Lis jam,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,496,004-0052,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,497,004-0053,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,498,004-0054,INTERIOR,Lis saklar bagian dashboard ,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,499,004-0055,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,500,004-0056,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,501,005-0078,EXTERIOR,Dudukan lock pintu ,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,502,005-0079,EXTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,503,004-0057,INTERIOR,Tiang spion tengah ,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,504,004-0058,INTERIOR,Joint cover ,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,505,005-0080,EXTERIOR,Rail front panel pillar RH/LH,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,506,004-0059,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,507,004-0060,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,508,004-0061,INTERIOR,,FALSE,TRUE,FALSE,1 PCS,RT - B27,,,,,,,,,,
,509,005-0081,EXTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B27,,,,,,,,,,
,510,004-0062,INTERIOR,,FALSE,TRUE,FALSE,4 PCS,RT - B27,,,,,,,,,,
,511,004-0063,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,512,004-0064,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,513,004-0065,INTERIOR,Cover Hnadle,FALSE,TRUE,FALSE,1 PCS,RT - B28,,,,,,,,,,
,514,004-0066,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,515,004-0067,INTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B28,,,,,,,,,,
,516,005-0082,EXTERIOR,,FALSE,TRUE,FALSE,2 PCS,RT - B18,,,,,,,,,,
,517,005-0083,EXTERIOR,Headlamp set,FALSE,TRUE,FALSE,2 PCS,RT - B18,,,,,,,,,,
,518,005-0084,EXTERIOR,Dudukan regulator kaca belakang ,FALSE,TRUE,FALSE,2 PCS,RT - B23,,,,,,,,,,
,519,,,,FALSE,TRUE,FALSE,2 PCS,CA - C28,,,,,,,,,,
,520,001-0181,ENGINE,,FALSE,TRUE,FALSE,1 PCS,CA - C28,,,,,,,,,,
,521,001-0182,ENGINE,Kondensor ,FALSE,TRUE,FALSE,1 PCS,CA - C28,,,,,,,,,,
,522,001-0183,ENGINE,Evaporator ,FALSE,TRUE,FALSE,1 PCS,CA - C28,,,,,,,,,,
,523,,,,FALSE,TRUE,FALSE,1 PCS,CA - C28,,,,,,,,,,
,524,003-0057,ELECTRICAL,Kabel body,FALSE,TRUE,FALSE,1 DUS,CA - C28,,,,,,,,,,
,525,001-0184,ENGINE,Radiator ,FALSE,TRUE,FALSE,1 PCS,Lorong - CA,,,,,,,,,,
,526,005-0085,EXTERIOR,Karet-karet kaca,FALSE,TRUE,FALSE,1 KTG,"RT - Lorong
Rak CB",,,,,,,,,,
,527,005-0086,EXTERIOR, perangkat handle pintu,FALSE,TRUE,FALSE,1 KTG,RT - C19,,,Keranjang 1,,,,,,,
,528,002-,UNDERCARIAGE,Karet kabel handbrake / Bushing (467),FALSE,FALSE,TRUE,2 PCS,RT - C3,,,Keranjang 3,,,,,,,
,530,005-0088,EXTERIOR,Regulator kaca pintu RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C43,"21/1/2026
Faisal",,,,,,,,,
,531,005-0089,EXTERIOR,Regulator kaca segitiga belakang RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C44,"21/1/2026
Faisal",,,,,,,,,
,532,005-0090,EXTERIOR,Cover fuel tank,FALSE,TRUE,FALSE,2 PCS ,RT-C44,"21/1/2026
Faisal",,,,,,,,,
,533,005-0091,EXTERIOR,Lis panel mati bagian bawah kaca segitiga belakang ,FALSE,TRUE,FALSE,2 PCS ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,534,005-0092,EXTERIOR,Lis body belakang ,FALSE,TRUE,FALSE,2 PCS ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,535,005-0093,EXTERIOR,Lis pillar kaca depan bagian luar RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,536,005-0094,EXTERIOR,Lis pillar kaca depan bagian dalam RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,537,005-0095,EXTERIOR,Lis penjepit kaca pintu,FALSE,TRUE,FALSE,1 PC ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,538,005-0096,EXTERIOR,Lis penjepit karet kaca pintu bagian atas RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C42,"21/1/2026
Faisal",,,,,,,,,
,539,005-0097,EXTERIOR,Lis penjepit karet kaca segitiga belakang bagian atas RH,FALSE,TRUE,FALSE,1 PC ,RT-C41,"21/1/2026
Faisal",,,,,,,,,
,540,005-0098,EXTERIOR,Lis kaca belakang bagian atas RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C41,"21/1/2026
Faisal",,,,,,,,,
,541,005-0099,EXTERIOR,Lis cowl depan RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C41,"21/1/2026
Faisal",,,,,,,,,
,542,005-0100,EXTERIOR,Lis cowl belakang RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C41,"21/1/2026
Faisal",,,,,,,,,
,543,005-00101,EXTERIOR,Lis footstep RH/LH,FALSE,TRUE,FALSE,2 PCS ,RT-C40,"21/1/2026
Faisal",,,,,,,,,
,544,003-0058,ELECTRICAL,Switch,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 1,,,,,,,
