,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Report Project DAILY JUNI,,,,,,,,,,,,,,,,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"PERHITUNGAN JAM KERJA DI LUAR TEAM MIS & WAREHOUSE (GABUNGAN MARGIN, NON MARGIN & ALL UNIT)",,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,
,UNIT MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 8-13 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 15-21 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 22-30 JUNI,ACTUAL FOTO SPF (Done)
,17,MB R107 Mr. SILMY,0:00,78:19,0:00,0:00,0:00,6:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,84:19,,"Kamis, 18 Juni 2026",553:58,,,MB W 111 KEBO Mr. INDRA,0,1,0,0,0,0,1,0,,JAGUAR XK120 Mr. JAMES ( JOBDESC KHUSUS ),2,1,0,0,0,0,3,0,,JAGUAR XK120 Mr. JAMES ( JOBDESC KHUSUS ),0,0,0,0,0,0,0,0
,18,MB R129 Mr. DIKO,300:00,356:16,200:00,99:17,400:00,466:06,300:00,281:51,0:00,17:05,0:00,4:00,0:00,0:00,0:00,0:00,1200:00,1224:35,,"Jumat, 19 Juni 2026",540:29,,,MB PAGODA Mr. SILMY,0,0,0,0,0,0,0,0,,MB GROSSER Mr. INDRA,0,0,0,0,0,0,0,1,,MB GROSSER Mr. INDRA,0,1,1,0,0,0,2,2
,19,MB W 111 KEBO Mr. INDRA,100:00,33:00,100:00,110:32,100:00,0:00,100:00,0:00,100:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,500:00,143:32,,"Sabtu, 20 Juni 2026",140:04,, ,MB GROSSER Mr. INDRA,0,7,2,0,0,0,9,6,,MB PAGODA Mr. SILMY,0,1,0,0,0,0,1,0,,MB PAGODA Mr. SILMY,0,0,0,0,0,0,0,0
,20,MB W212 Mr. BILLY,50:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,50:00,0:00,,"Minggu, 21 Juni 2026",107:56,,,MB MASTERPIECE Mr. DIKO,0,0,0,0,0,0,0,0,,MB MASTERPIECE NEW Mr. DIKO,0,0,0,0,0,0,0,5,,MB MASTERPIECE Mr. DIKO,0,0,0,0,0,0,0,45
,21,PORSCHE 911 Mr. HANDY,100:00,44:32,150:00,27:05,150:00,31:01,50:00,0:00,0:00,13:01,0:00,3:00,0:00,0:00,0:00,0:00,450:00,118:39,,"Senin, 22 Juni 2026",519:45,,,JAGUAR XK120 Mr. JAMES ( JOBDESC KHUSUS ),0,0,0,0,0,0,0,0,,MB W 111 KEBO Mr. INDRA,0,0,0,0,0,0,0,1,,MB W 111 KEBO Mr. INDRA,0,0,0,0,0,0,0,0
,22,PORSCHE 930 Mr. ADRIAN,150:00,314:42,0:00,26:15,50:00,85:25,0:00,6:30,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,200:00,432:52,,"Selasa, 23 Juni 2026",596:02,,,FERRARI F355 Mr. SILMY,0,0,0,0,0,0,0,0,,MB W212 Mr. BILLY,0,0,0,0,0,0,0,0,,MB W212 Mr. BILLY,0,0,0,0,0,0,0,0
,23,PORSCHE 993 Mr. ADRIAN,100:00,101:49,50:00,21:39,50:00,31:27,0:00,5:30,0:00,0:00,0:00,53:15,0:00,0:00,0:00,0:00,200:00,213:40,,"Rabu, 24 Juni 2026",573:40,,,UNIT NON MARGIN,,,,,,,,,,UNIT NON MARGIN,,,,,,,,,,UNIT NON MARGIN,,,,,,,,
,24,MB MASTERPIECE NEW Mr. DIKO,200:00,225:51,50:00,8:26,50:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,300:00,234:17,,"Kamis, 25 Juni 2026",604:32,,,FIAT MULTIPLA Mr. JOKO,63,22,46,4,8,4,147,125,,FIAT MULTIPLA Mr. JOKO,43,23,65,18,14,7,170,143,,FIAT MULTIPLA Mr. JOKO,23,17,42,13,8,3,106,80
,25,ALL UNIT,100:00,72:23,100:00,295:44,100:00,68:51,100:00,57:40,0:00,0:00,0:00,0:00,0:00,0:00,200:00,1210:36,600:00,1705:14,,"Jumat, 26 Juni 2026",577:46,,,MB W124 E320 SPORTLINE Mr. MARTHIN,4,6,0,3,1,0,14,12,,MB W124 E320 SPORTLINE Mr. MARTHIN,7,0,0,1,1,0,9,8,,MB W124 E320 SPORTLINE Mr. MARTHIN,13,3,2,1,0,0,19,13
,TOTAL TARGET BULAN JUNI MARGIN,,,,,,,,,,,,,,,,,,11139:00,9167:36,,"Sabtu, 27 Juni 2026",399:02,,,MB R 230 Mr. STANLEY,12,1,11,4,0,0,28,19,,MB E320 SPORTLINE HIJAU Mr. DIKO,0,0,3,6,0,0,9,0,,MB E320 SPORTLINE HIJAU Mr. DIKO,0,0,0,0,0,0,0,0
