,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,NAMA ,UNIT,TANGGAL,DIVISI,PEMBAHASAN,STATUS,,,KETERANGAN,APPROVAL COO,,STATUS PEMBAHASAN,
26,FIKI ,MB MPS Mr. DIKO,"Selasa, 05 Mei 2026",CHROME ,EXHOUST MANIFOLD UNTUK DI VAPOUR,FALSE,FALSE,TRUE,"ada dua, yang satu bersihkan dlu dengan auto sol, bagian packing nya di sanding 10 balikan kemudian di vapour setelah nya perlihatkan kembali kepada Pak Marthin",FALSE,TRUE,DONE,"sudah selesai namun hasilnya tidak rapi,komplen ke vendor"
27,YUDHA,MB E320 SPORTLINE HIJAU Mr. DIKO,"Selasa, 05 Mei 2026",MEKANIK ,KONDENSOR AC KURANG MAJU,FALSE,FALSE,TRUE,buat boshing ganjal kemudian galvanis hitam,TRUE,FALSE,DONE,Partr Bushing sudah selesai di vendor tgl 8 Mei 2026
28,RIZKI M,MB R107 Mr. SILMY,"Rabu, 06 Mei 2026",MEKANIK ,"BAUT-BAUT UNDERCARRIAGE BERKARAT IZIN UNTUK DI GALVANIS, SEBELUM NYA SUDAH DI AJUKAN NAMUN TIDAK ACC. TAPI KARENA KAKI-KAKI BANYAK DI GANTI DAN DI REPAIR JADI JOMPLANG",FALSE,FALSE,TRUE,ACC,TRUE,FALSE,DONE,wov sudah masuk di tgl 8 mei 2026
29,RIZKI M,MB R107 Mr. SILMY,"Rabu, 06 Mei 2026",MEKANIK ,"SEPATU REM BELAKANG ADA RETAK-RETAK, SEBELUM NYA SUDAH DI AJUKAN NAMUN UNTUK DI PASANG KEMBALI. TAPI SAAT AKAN DI PASANG KEMUNGKINAN LIFETIME NYA TIDAK AKAN BERTAHAN LAMA",FALSE,FALSE,TRUE,hunting harga local dulu dan infokan harga nya jika tidak dapat di lokal untuk perlihatkan part nya kepada Pak Marthin,TRUE,FALSE,DONE,sudah terpasang
30,UJANG K ,CHEVROLET Mr. NYOMAN,"Rabu, 06 Mei 2026",CHROME ,"HANDLE PINTU LH KO DEDE ADA BRUNTUS KECIL, HANDLE PINTU RH DI PAK RAJAB BRUNTUS CUKUP BESAR",FALSE,FALSE,TRUE,"kirimkan ke duanya ke ko dede, untuk di kerjakan di vendor ko dede",TRUE,FALSE,ON PROGRESS,Part sedang proses divendor 1 pc ke ko dede 1 pcs ke pak rajab
31,FIKI ,MB 190 SL Mr. ADRIAN,"Rabu, 06 Mei 2026",MEKANIK ,"TERDAPAT KEBOCORAN OIL PADA SEAL TAMBANG OUTPUT CRANKSHAFT, IZIN UNTUK SEAL TAMBANG DI GANTI",FALSE,FALSE,TRUE,"tidak ACC, ajukan kembali jika sudah ada kiat-kiat nya apakah dengan di ganti menjamin tidak bocor",FALSE,TRUE,BELUM DIKERJAKAN,Masih proses mencari solusi terbaik
32,FIKI ,FIAT MULTIPLA Mr. JOKO,"Rabu, 06 Mei 2026",MEKANIK ,opening pintu belakang rh/lh terdapat baret akibat settingan pintu terlalu rapat. dulu progress pengecatan dalam keadaan di jackstand sehingga setingan setelah body terpasang kaki-kaki berubah. izin pengerjaan untuk engsel pintu di lepas dan ditambahkan spacer estimasi 32 jam pic pak opan dan pengecatan 48 jam pic pak dadan,FALSE,FALSE,TRUE,kerjakan dengan catatan pak syarif incharge dalam memberikan advice,TRUE,FALSE,DONE,proses setting sudah selesai
33,FIKI ,MB MPS Mr. DIKO,"Rabu, 06 Mei 2026",MEKANIK ,"PISTON KELIPER BELAKANG 2 PCS PISTON DEPAN 1 PCS TERDAPAT BARET PADA PERMUKAAN SEAL, RESIKO UNTUK BOCOR. IZIN HUNTING LOKAL JIKA TIDAK ADA HUNTING LN",FALSE,FALSE,TRUE,HUNTING DULU HARGA DAN INFORMASIKAN,TRUE,FALSE,ON PROGRESS,Masih Proses hunting part ( FU Purchasing )
34,IMAN ,MB 500 SEC Mr. DIKO,"Rabu, 06 Mei 2026",MEKANIK ,HUNTING PART TERLAMPIR,FALSE,FALSE,TRUE,"ACC, UNTUK PIPA REM DAN DAN NEPEL PIPA REM KONFIRMASI DAHULU KARENA KESALAHAN KERJA",TRUE,FALSE,ON PROGRESS,Masih Proses hunting part ( FU Purchasing )
35,PRATAMA,MB R129 Mr. DIKO,"Kamis, 07 Mei 2026",MEKANIK ,SHIFTER INDICATOR PATAH DAN TIDAK BISA MENGUNCI FITUR S DAN W (BAWAAN RUSAK). IZIN GANTI,FALSE,FALSE,TRUE,HUNTING SECOND DAHULU,TRUE,FALSE,ON PROGRESS,Masih Proses hunting part
